Museo Nacional del Prado: (España),plaza mayor: (España),el retiro: (España),puerta del sol: (España),gran via: (España),Museo Nacional Thyssen-Bornemisza: (España),templo de debod: (España),Catedral de Santa María la Real de la Almudena: (España),cibeles: (España),palacio de cristal: (España),puerta de alcala: (España),el rastro: (España),las ventas: (España),chueca: (España),san gines: (España),callao: (España),calle serrano: (España),date
5,56,35,7,41,49,58,11,31,36,33,84,21,94,80,65,73,2015-08-01
5,55,35,7,47,50,63,14,29,47,34,71,39,89,26,66,97,2015-09-01
6,51,38,8,100,89,59,21,40,86,46,81,22,88,37,68,89,2015-10-01
6,58,35,9,58,79,48,66,29,59,48,73,17,89,29,80,79,2015-11-01
8,65,31,26,63,55,69,16,37,54,45,100,13,100,39,84,89,2015-12-01
6,50,33,7,55,54,56,29,32,46,45,79,16,75,28,75,100,2016-01-01
7,44,28,8,46,76,43,14,30,58,41,78,17,74,30,74,85,2016-02-01
7,61,40,7,48,68,82,18,22,54,48,72,21,83,36,66,84,2016-03-01
6,39,32,7,40,43,53,13,21,79,45,86,38,79,31,72,83,2016-04-01
9,64,46,8,44,62,63,13,91,53,49,67,84,73,30,60,91,2016-05-01
7,47,40,7,43,47,54,11,34,40,53,56,38,86,28,65,89,2016-06-01
8,54,55,8,51,44,67,12,33,39,48,62,22,85,40,68,89,2016-07-01
9,65,40,8,44,43,69,12,28,49,44,71,22,78,89,62,79,2016-08-01
10,59,39,7,53,43,74,12,25,41,41,76,45,82,28,70,86,2016-09-01
6,55,40,10,56,100,70,37,24,78,60,96,23,75,39,98,95,2016-10-01
7,51,32,12,55,64,61,89,20,47,77,86,15,78,45,78,92,2016-11-01
7,78,44,32,86,84,62,10,28,56,85,86,14,84,47,97,92,2016-12-01
6,61,31,14,63,67,62,8,27,42,48,67,16,74,39,78,91,2017-01-01
5,68,29,10,49,50,57,6,29,54,53,62,16,79,52,72,91,2017-02-01
5,45,40,7,46,39,64,9,25,77,48,65,28,69,34,76,83,2017-03-01
6,74,52,8,56,41,93,10,25,82,52,90,47,70,48,64,77,2017-04-01
6,50,61,8,46,40,60,8,97,51,43,58,89,67,32,68,93,2017-05-01
5,45,39,9,49,44,53,5,100,58,55,71,65,92,30,73,76,2017-06-01
5,59,43,9,49,46,58,6,27,40,50,69,33,69,40,67,83,2017-07-01
5,63,40,8,44,39,68,7,33,32,39,71,20,64,92,53,75,2017-08-01
5,100,39,10,50,46,73,8,30,44,43,62,36,53,33,78,82,2017-09-01
6,70,48,12,56,78,71,26,29,87,57,77,21,53,35,69,98,2017-10-01
6,51,36,13,53,54,67,91,26,58,54,81,14,57,36,81,86,2017-11-01
8,91,38,24,68,54,90,10,31,91,71,74,13,64,55,92,94,2017-12-01
7,42,30,9,51,46,49,6,20,59,45,76,13,49,37,64,85,2018-01-01
7,56,43,8,50,53,73,6,23,64,43,70,16,50,38,68,88,2018-02-01
8,64,100,9,56,41,100,14,24,90,47,83,29,55,43,83,81,2018-03-01
7,54,70,9,48,50,71,11,23,48,44,76,59,47,34,76,86,2018-04-01
6,65,46,8,47,60,52,12,77,48,60,64,84,49,36,62,77,2018-05-01
5,43,39,6,44,42,50,8,25,47,45,86,63,51,34,77,83,2018-06-01
6,57,47,8,49,48,58,7,31,52,44,81,16,71,34,60,80,2018-07-01
7,69,42,8,47,47,62,10,27,65,46,70,22,50,99,60,65,2018-08-01
8,58,47,8,48,45,51,20,26,55,90,77,42,53,35,73,85,2018-09-01
7,59,46,8,55,42,69,38,23,98,100,89,36,51,38,78,80,2018-10-01
12,55,41,10,58,38,49,100,21,67,60,69,14,50,39,81,85,2018-11-01
8,80,44,30,65,47,62,13,32,90,58,68,13,55,59,97,91,2018-12-01
6,47,36,9,49,42,44,8,23,51,43,77,17,50,33,64,79,2019-01-01
7,55,39,8,45,49,62,13,22,67,62,79,18,52,38,71,79,2019-02-01
8,47,53,7,46,55,59,13,36,83,49,81,25,46,34,70,81,2019-03-01
8,73,48,9,48,52,69,25,25,85,44,78,28,47,44,69,83,2019-04-01
6,57,44,10,50,43,55,8,28,48,45,59,100,44,37,62,77,2019-05-01
7,58,49,8,51,63,50,10,28,83,56,56,81,64,39,68,88,2019-06-01
6,60,48,7,64,54,49,7,29,62,46,70,18,44,37,65,74,2019-07-01
7,75,46,8,53,49,74,8,32,62,46,67,19,45,100,75,72,2019-08-01
7,71,43,9,51,64,54,13,26,69,52,74,41,48,37,72,79,2019-09-01
7,67,45,12,66,51,56,17,25,71,65,74,38,52,41,100,78,2019-10-01
100,58,40,10,53,47,41,65,21,81,42,74,18,48,37,79,80,2019-11-01
10,79,54,100,66,53,67,9,33,87,60,73,20,63,57,85,85,2019-12-01
7,51,37,10,52,42,48,7,25,45,40,57,17,51,33,70,79,2020-01-01
11,63,49,8,44,60,84,8,21,85,42,71,19,52,38,70,81,2020-02-01
11,39,47,8,37,48,48,7,19,51,33,61,15,45,30,62,67,2020-03-01
4,14,27,5,13,21,15,6,9,19,36,27,11,21,19,20,22,2020-04-01
7,28,42,4,27,37,21,5,13,26,31,49,13,31,23,34,50,2020-05-01
6,34,36,4,33,46,27,5,16,25,31,63,12,46,31,43,57,2020-06-01
3,36,35,4,32,36,28,17,71,100,45,100,13,41,28,42,56,2020-07-01
