Categoría: Todas las categorías

Semana,Albufera: (Todo el mundo)
2015-08-02,66
2015-08-09,58
2015-08-16,52
2015-08-23,52
2015-08-30,47
2015-09-06,56
2015-09-13,55
2015-09-20,44
2015-09-27,54
2015-10-04,49
2015-10-11,42
2015-10-18,52
2015-10-25,44
2015-11-01,47
2015-11-08,44
2015-11-15,41
2015-11-22,46
2015-11-29,46
2015-12-06,45
2015-12-13,42
2015-12-20,36
2015-12-27,52
2016-01-03,47
2016-01-10,45
2016-01-17,49
2016-01-24,49
2016-01-31,62
2016-02-07,60
2016-02-14,46
2016-02-21,47
2016-02-28,53
2016-03-06,42
2016-03-13,49
2016-03-20,70
2016-03-27,54
2016-04-03,62
2016-04-10,64
2016-04-17,58
2016-04-24,57
2016-05-01,61
2016-05-08,55
2016-05-15,52
2016-05-22,58
2016-05-29,65
2016-06-05,56
2016-06-12,59
2016-06-19,64
2016-06-26,61
2016-07-03,59
2016-07-10,51
2016-07-17,60
2016-07-24,62
2016-07-31,66
2016-08-07,67
2016-08-14,54
2016-08-21,53
2016-08-28,62
2016-09-04,52
2016-09-11,55
2016-09-18,46
2016-09-25,42
2016-10-02,43
2016-10-09,50
2016-10-16,50
2016-10-23,41
2016-10-30,53
2016-11-06,39
2016-11-13,45
2016-11-20,41
2016-11-27,45
2016-12-04,40
2016-12-11,41
2016-12-18,32
2016-12-25,50
2017-01-01,50
2017-01-08,52
2017-01-15,49
2017-01-22,42
2017-01-29,54
2017-02-05,46
2017-02-12,48
2017-02-19,45
2017-02-26,54
2017-03-05,58
2017-03-12,52
2017-03-19,48
2017-03-26,46
2017-04-02,62
2017-04-09,73
2017-04-16,64
2017-04-23,63
2017-04-30,70
2017-05-07,64
2017-05-14,58
2017-05-21,58
2017-05-28,60
2017-06-04,68
2017-06-11,60
2017-06-18,59
2017-06-25,66
2017-07-02,63
2017-07-09,59
2017-07-16,65
2017-07-23,63
2017-07-30,66
2017-08-06,70
2017-08-13,61
2017-08-20,59
2017-08-27,62
2017-09-03,55
2017-09-10,49
2017-09-17,60
2017-09-24,63
2017-10-01,51
2017-10-08,63
2017-10-15,51
2017-10-22,56
2017-10-29,54
2017-11-05,44
2017-11-12,46
2017-11-19,58
2017-11-26,39
2017-12-03,47
2017-12-10,41
2017-12-17,39
2017-12-24,47
2017-12-31,53
2018-01-07,53
2018-01-14,51
2018-01-21,59
2018-01-28,53
2018-02-04,47
2018-02-11,54
2018-02-18,51
2018-02-25,55
2018-03-04,49
2018-03-11,56
2018-03-18,61
2018-03-25,74
2018-04-01,67
2018-04-08,63
2018-04-15,57
2018-04-22,62
2018-04-29,66
2018-05-06,65
2018-05-13,67
2018-05-20,65
2018-05-27,60
2018-06-03,59
2018-06-10,60
2018-06-17,60
2018-06-24,59
2018-07-01,65
2018-07-08,71
2018-07-15,71
2018-07-22,67
2018-07-29,73
2018-08-05,66
2018-08-12,78
2018-08-19,60
2018-08-26,60
2018-09-02,66
2018-09-09,51
2018-09-16,53
2018-09-23,53
2018-09-30,60
2018-10-07,62
2018-10-14,52
2018-10-21,51
2018-10-28,53
2018-11-04,51
2018-11-11,37
2018-11-18,39
2018-11-25,46
2018-12-02,41
2018-12-09,44
2018-12-16,37
2018-12-23,54
2018-12-30,61
2019-01-06,56
2019-01-13,69
2019-01-20,75
2019-01-27,72
2019-02-03,61
2019-02-10,64
2019-02-17,60
2019-02-24,74
2019-03-03,67
2019-03-10,65
2019-03-17,63
2019-03-24,70
2019-03-31,93
2019-04-07,81
2019-04-14,78
2019-04-21,76
2019-04-28,68
2019-05-05,59
2019-05-12,62
2019-05-19,67
2019-05-26,70
2019-06-02,76
2019-06-09,70
2019-06-16,70
2019-06-23,69
2019-06-30,69
2019-07-07,77
2019-07-14,88
2019-07-21,88
2019-07-28,90
2019-08-04,100
2019-08-11,93
2019-08-18,64
2019-08-25,63
2019-09-01,66
2019-09-08,58
2019-09-15,61
2019-09-22,62
2019-09-29,59
2019-10-06,68
2019-10-13,62
2019-10-20,56
2019-10-27,63
2019-11-03,53
2019-11-10,47
2019-11-17,51
2019-11-24,56
2019-12-01,55
2019-12-08,49
2019-12-15,43
2019-12-22,48
2019-12-29,67
2020-01-05,54
2020-01-12,61
2020-01-19,71
2020-01-26,69
2020-02-02,62
2020-02-09,68
2020-02-16,61
2020-02-23,58
2020-03-01,57
2020-03-08,44
2020-03-15,27
2020-03-22,27
2020-03-29,28
2020-04-05,41
2020-04-12,29
2020-04-19,38
2020-04-26,35
2020-05-03,35
2020-05-10,34
2020-05-17,34
2020-05-24,43
2020-05-31,49
2020-06-07,54
2020-06-14,46
2020-06-21,51
2020-06-28,56
2020-07-05,54
2020-07-12,60
2020-07-19,59
