Categoría: Todas las categorías

Semana,Castell de bellver: (Todo el mundo)
2015-08-02,35
2015-08-09,26
2015-08-16,43
2015-08-23,76
2015-08-30,25
2015-09-06,17
2015-09-13,16
2015-09-20,33
2015-09-27,49
2015-10-04,16
2015-10-11,56
2015-10-18,16
2015-10-25,40
2015-11-01,55
2015-11-08,32
2015-11-15,32
2015-11-22,32
2015-11-29,16
2015-12-06,0
2015-12-13,0
2015-12-20,18
2015-12-27,54
2016-01-03,25
2016-01-10,17
2016-01-17,42
2016-01-24,50
2016-01-31,34
2016-02-07,50
2016-02-14,25
2016-02-21,33
2016-02-28,33
2016-03-06,16
2016-03-13,90
2016-03-20,34
2016-03-27,17
2016-04-03,100
2016-04-10,33
2016-04-17,50
2016-04-24,100
2016-05-01,51
2016-05-08,66
2016-05-15,17
2016-05-22,25
2016-05-29,43
2016-06-05,25
2016-06-12,50
2016-06-19,60
2016-06-26,35
2016-07-03,54
2016-07-10,18
2016-07-17,99
2016-07-24,18
2016-07-31,45
2016-08-07,56
2016-08-14,38
2016-08-21,45
2016-08-28,79
2016-09-04,43
2016-09-11,52
2016-09-18,17
2016-09-25,34
2016-10-02,34
2016-10-09,51
2016-10-16,25
2016-10-23,17
2016-10-30,26
2016-11-06,17
2016-11-13,25
2016-11-20,0
2016-11-27,16
2016-12-04,32
2016-12-11,32
2016-12-18,26
2016-12-25,35
2017-01-01,0
2017-01-08,16
2017-01-15,31
2017-01-22,31
2017-01-29,46
2017-02-05,31
2017-02-12,15
2017-02-19,23
2017-02-26,61
2017-03-05,45
2017-03-12,53
2017-03-19,61
2017-03-26,31
2017-04-02,54
2017-04-09,32
2017-04-16,31
2017-04-23,0
2017-04-30,23
2017-05-07,31
2017-05-14,65
2017-05-21,25
2017-05-28,34
2017-06-04,32
2017-06-11,33
2017-06-18,48
2017-06-25,59
2017-07-02,34
2017-07-09,42
2017-07-16,67
2017-07-23,66
2017-07-30,57
2017-08-06,48
2017-08-13,33
2017-08-20,32
2017-08-27,48
2017-09-03,24
2017-09-10,31
2017-09-17,16
2017-09-24,24
2017-10-01,39
2017-10-08,39
2017-10-15,31
2017-10-22,38
2017-10-29,31
2017-11-05,0
2017-11-12,22
2017-11-19,45
2017-11-26,0
2017-12-03,38
2017-12-10,38
2017-12-17,16
2017-12-24,42
2017-12-31,32
2018-01-07,30
2018-01-14,0
2018-01-21,15
2018-01-28,15
2018-02-04,29
2018-02-11,29
2018-02-18,14
2018-02-25,14
2018-03-04,57
2018-03-11,29
2018-03-18,29
2018-03-25,75
2018-04-01,45
2018-04-08,15
2018-04-15,15
2018-04-22,29
2018-04-29,30
2018-05-06,29
2018-05-13,44
2018-05-20,45
2018-05-27,22
2018-06-03,59
2018-06-10,14
2018-06-17,22
2018-06-24,44
2018-07-01,44
2018-07-08,73
2018-07-15,45
2018-07-22,30
2018-07-29,22
2018-08-05,36
2018-08-12,44
2018-08-19,45
2018-08-26,66
2018-09-02,50
2018-09-09,57
2018-09-16,43
2018-09-23,36
2018-09-30,29
2018-10-07,36
2018-10-14,44
2018-10-21,14
2018-10-28,15
2018-11-04,29
2018-11-11,29
2018-11-18,36
2018-11-25,28
2018-12-02,36
2018-12-09,15
2018-12-16,15
2018-12-23,0
2018-12-30,78
2019-01-06,44
2019-01-13,28
2019-01-20,21
2019-01-27,42
2019-02-03,21
2019-02-10,14
2019-02-17,14
2019-02-24,49
2019-03-03,21
2019-03-10,28
2019-03-17,43
2019-03-24,43
2019-03-31,57
2019-04-07,36
2019-04-14,44
2019-04-21,80
2019-04-28,22
2019-05-05,64
2019-05-12,36
2019-05-19,42
2019-05-26,70
2019-06-02,70
2019-06-09,56
2019-06-16,21
2019-06-23,56
2019-06-30,35
2019-07-07,42
2019-07-14,86
2019-07-21,29
2019-07-28,44
2019-08-04,44
2019-08-11,29
2019-08-18,50
2019-08-25,49
2019-09-01,27
2019-09-08,47
2019-09-15,55
2019-09-22,20
2019-09-29,20
2019-10-06,27
2019-10-13,26
2019-10-20,40
2019-10-27,40
2019-11-03,13
2019-11-10,26
2019-11-17,0
2019-11-24,20
2019-12-01,40
2019-12-08,13
2019-12-15,13
2019-12-22,37
2019-12-29,28
2020-01-05,52
2020-01-12,25
2020-01-19,32
2020-01-26,32
2020-02-02,25
2020-02-09,25
2020-02-16,19
2020-02-23,43
2020-03-01,18
2020-03-08,24
2020-03-15,24
2020-03-22,0
2020-03-29,11
2020-04-05,17
2020-04-12,17
2020-04-19,17
2020-04-26,22
2020-05-03,17
2020-05-10,23
2020-05-17,12
2020-05-24,35
2020-05-31,23
2020-06-07,12
2020-06-14,0
2020-06-21,12
2020-06-28,48
2020-07-05,24
2020-07-12,19
2020-07-19,26
