Categoría: Todas las categorías

Semana,plaza mayor: (España)
2015-08-02,52
2015-08-09,56
2015-08-16,54
2015-08-23,51
2015-08-30,45
2015-09-06,55
2015-09-13,36
2015-09-20,41
2015-09-27,43
2015-10-04,44
2015-10-11,51
2015-10-18,34
2015-10-25,35
2015-11-01,58
2015-11-08,39
2015-11-15,39
2015-11-22,53
2015-11-29,54
2015-12-06,65
2015-12-13,48
2015-12-20,54
2015-12-27,65
2016-01-03,50
2016-01-10,39
2016-01-17,36
2016-01-24,33
2016-01-31,38
2016-02-07,42
2016-02-14,40
2016-02-21,41
2016-02-28,44
2016-03-06,35
2016-03-13,58
2016-03-20,61
2016-03-27,38
2016-04-03,37
2016-04-10,39
2016-04-17,38
2016-04-24,38
2016-05-01,52
2016-05-08,64
2016-05-15,50
2016-05-22,34
2016-05-29,39
2016-06-05,43
2016-06-12,37
2016-06-19,44
2016-06-26,47
2016-07-03,54
2016-07-10,45
2016-07-17,49
2016-07-24,52
2016-07-31,54
2016-08-07,65
2016-08-14,63
2016-08-21,55
2016-08-28,48
2016-09-04,59
2016-09-11,41
2016-09-18,40
2016-09-25,40
2016-10-02,44
2016-10-09,55
2016-10-16,39
2016-10-23,53
2016-10-30,48
2016-11-06,39
2016-11-13,47
2016-11-20,51
2016-11-27,51
2016-12-04,78
2016-12-11,52
2016-12-18,45
2016-12-25,73
2017-01-01,61
2017-01-08,43
2017-01-15,37
2017-01-22,36
2017-01-29,37
2017-02-05,48
2017-02-12,68
2017-02-19,60
2017-02-26,50
2017-03-05,38
2017-03-12,43
2017-03-19,43
2017-03-26,45
2017-04-02,42
2017-04-09,74
2017-04-16,49
2017-04-23,47
2017-04-30,53
2017-05-07,50
2017-05-14,47
2017-05-21,43
2017-05-28,41
2017-06-04,40
2017-06-11,45
2017-06-18,43
2017-06-25,45
2017-07-02,56
2017-07-09,58
2017-07-16,55
2017-07-23,50
2017-07-30,59
2017-08-06,63
2017-08-13,58
2017-08-20,58
2017-08-27,55
2017-09-03,59
2017-09-10,57
2017-09-17,47
2017-09-24,100
2017-10-01,70
2017-10-08,60
2017-10-15,51
2017-10-22,40
2017-10-29,53
2017-11-05,51
2017-11-12,42
2017-11-19,49
2017-11-26,50
2017-12-03,91
2017-12-10,53
2017-12-17,50
2017-12-24,74
2017-12-31,65
2018-01-07,39
2018-01-14,41
2018-01-21,42
2018-01-28,40
2018-02-04,46
2018-02-11,56
2018-02-18,45
2018-02-25,49
2018-03-04,38
2018-03-11,39
2018-03-18,43
2018-03-25,64
2018-04-01,43
2018-04-08,41
2018-04-15,46
2018-04-22,43
2018-04-29,54
2018-05-06,54
2018-05-13,65
2018-05-20,40
2018-05-27,43
2018-06-03,41
2018-06-10,42
2018-06-17,41
2018-06-24,43
2018-07-01,52
2018-07-08,52
2018-07-15,56
2018-07-22,57
2018-07-29,53
2018-08-05,64
2018-08-12,69
2018-08-19,69
2018-08-26,60
2018-09-02,58
2018-09-09,55
2018-09-16,49
2018-09-23,45
2018-09-30,52
2018-10-07,54
2018-10-14,45
2018-10-21,48
2018-10-28,59
2018-11-04,49
2018-11-11,45
2018-11-18,53
2018-11-25,55
2018-12-02,78
2018-12-09,52
2018-12-16,49
2018-12-23,80
2018-12-30,71
2019-01-06,47
2019-01-13,37
2019-01-20,38
2019-01-27,40
2019-02-03,39
2019-02-10,55
2019-02-17,54
2019-02-24,52
2019-03-03,41
2019-03-10,43
2019-03-17,47
2019-03-24,47
2019-03-31,40
2019-04-07,46
2019-04-14,73
2019-04-21,50
2019-04-28,56
2019-05-05,55
2019-05-12,57
2019-05-19,45
2019-05-26,52
2019-06-02,53
2019-06-09,44
2019-06-16,47
2019-06-23,58
2019-06-30,56
2019-07-07,54
2019-07-14,54
2019-07-21,60
2019-07-28,58
2019-08-04,66
2019-08-11,75
2019-08-18,68
2019-08-25,58
2019-09-01,54
2019-09-08,71
2019-09-15,50
2019-09-22,48
2019-09-29,53
2019-10-06,54
2019-10-13,52
2019-10-20,58
2019-10-27,67
2019-11-03,48
2019-11-10,50
2019-11-17,52
2019-11-24,58
2019-12-01,79
2019-12-08,65
2019-12-15,56
2019-12-22,78
2019-12-29,76
2020-01-05,51
2020-01-12,43
2020-01-19,39
2020-01-26,40
2020-02-02,45
2020-02-09,60
2020-02-16,58
2020-02-23,63
2020-03-01,39
2020-03-08,28
2020-03-15,12
2020-03-22,10
2020-03-29,9
2020-04-05,11
2020-04-12,12
2020-04-19,11
2020-04-26,14
2020-05-03,14
2020-05-10,15
2020-05-17,20
2020-05-24,19
2020-05-31,28
2020-06-07,28
2020-06-14,25
2020-06-21,30
2020-06-28,34
2020-07-05,30
2020-07-12,33
2020-07-19,35
2020-07-26,36
