Categoría: Todas las categorías

Semana,gran via: (Alemania)
2015-08-02,74
2015-08-09,39
2015-08-16,50
2015-08-23,33
2015-08-30,60
2015-09-06,71
2015-09-13,47
2015-09-20,48
2015-09-27,32
2015-10-04,41
2015-10-11,62
2015-10-18,62
2015-10-25,51
2015-11-01,46
2015-11-08,51
2015-11-15,60
2015-11-22,46
2015-11-29,41
2015-12-06,56
2015-12-13,53
2015-12-20,19
2015-12-27,30
2016-01-03,64
2016-01-10,61
2016-01-17,78
2016-01-24,75
2016-01-31,72
2016-02-07,43
2016-02-14,57
2016-02-21,77
2016-02-28,99
2016-03-06,62
2016-03-13,67
2016-03-20,38
2016-03-27,92
2016-04-03,25
2016-04-10,44
2016-04-17,29
2016-04-24,62
2016-05-01,38
2016-05-08,71
2016-05-15,46
2016-05-22,46
2016-05-29,48
2016-06-05,59
2016-06-12,62
2016-06-19,25
2016-06-26,49
2016-07-03,57
2016-07-10,31
2016-07-17,48
2016-07-24,48
2016-07-31,49
2016-08-07,34
2016-08-14,53
2016-08-21,45
2016-08-28,74
2016-09-04,32
2016-09-11,79
2016-09-18,43
2016-09-25,79
2016-10-02,69
2016-10-09,77
2016-10-16,31
2016-10-23,46
2016-10-30,77
2016-11-06,30
2016-11-13,25
2016-11-20,30
2016-11-27,35
2016-12-04,44
2016-12-11,39
2016-12-18,37
2016-12-25,33
2017-01-01,48
2017-01-08,55
2017-01-15,56
2017-01-22,65
2017-01-29,55
2017-02-05,51
2017-02-12,47
2017-02-19,70
2017-02-26,83
2017-03-05,50
2017-03-12,42
2017-03-19,37
2017-03-26,44
2017-04-02,77
2017-04-09,67
2017-04-16,72
2017-04-23,74
2017-04-30,38
2017-05-07,51
2017-05-14,34
2017-05-21,52
2017-05-28,54
2017-06-04,63
2017-06-11,70
2017-06-18,14
2017-06-25,43
2017-07-02,34
2017-07-09,48
2017-07-16,29
2017-07-23,67
2017-07-30,43
2017-08-06,75
2017-08-13,24
2017-08-20,58
2017-08-27,33
2017-09-03,65
2017-09-10,55
2017-09-17,55
2017-09-24,63
2017-10-01,45
2017-10-08,59
2017-10-15,50
2017-10-22,53
2017-10-29,63
2017-11-05,52
2017-11-12,17
2017-11-19,26
2017-11-26,31
2017-12-03,31
2017-12-10,26
2017-12-17,42
2017-12-24,31
2017-12-31,23
2018-01-07,42
2018-01-14,38
2018-01-21,51
2018-01-28,59
2018-02-04,47
2018-02-11,69
2018-02-18,30
2018-02-25,32
2018-03-04,60
2018-03-11,38
2018-03-18,73
2018-03-25,41
2018-04-01,32
2018-04-08,35
2018-04-15,63
2018-04-22,39
2018-04-29,50
2018-05-06,41
2018-05-13,20
2018-05-20,55
2018-05-27,57
2018-06-03,35
2018-06-10,59
2018-06-17,43
2018-06-24,35
2018-07-01,32
2018-07-08,43
2018-07-15,33
2018-07-22,54
2018-07-29,49
2018-08-05,66
2018-08-12,31
2018-08-19,27
2018-08-26,49
2018-09-02,57
2018-09-09,48
2018-09-16,83
2018-09-23,44
2018-09-30,35
2018-10-07,43
2018-10-14,61
2018-10-21,45
2018-10-28,47
2018-11-04,25
2018-11-11,44
2018-11-18,57
2018-11-25,42
2018-12-02,46
2018-12-09,19
2018-12-16,30
2018-12-23,29
2018-12-30,31
2019-01-06,100
2019-01-13,55
2019-01-20,28
2019-01-27,39
2019-02-03,48
2019-02-10,41
2019-02-17,49
2019-02-24,46
2019-03-03,36
2019-03-10,32
2019-03-17,46
2019-03-24,46
2019-03-31,33
2019-04-07,53
2019-04-14,47
2019-04-21,70
2019-04-28,24
2019-05-05,56
2019-05-12,49
2019-05-19,30
2019-05-26,62
2019-06-02,49
2019-06-09,63
2019-06-16,47
2019-06-23,30
2019-06-30,33
2019-07-07,41
2019-07-14,21
2019-07-21,44
2019-07-28,30
2019-08-04,17
2019-08-11,42
2019-08-18,32
2019-08-25,44
2019-09-01,30
2019-09-08,25
2019-09-15,49
2019-09-22,24
2019-09-29,60
2019-10-06,60
2019-10-13,24
2019-10-20,54
2019-10-27,31
2019-11-03,63
2019-11-10,17
2019-11-17,38
2019-11-24,23
2019-12-01,38
2019-12-08,31
2019-12-15,27
2019-12-22,60
2019-12-29,45
2020-01-05,36
2020-01-12,67
2020-01-19,43
2020-01-26,25
2020-02-02,33
2020-02-09,42
2020-02-16,40
2020-02-23,32
2020-03-01,25
2020-03-08,33
2020-03-15,20
2020-03-22,26
2020-03-29,36
2020-04-05,27
2020-04-12,20
2020-04-19,25
2020-04-26,13
2020-05-03,10
2020-05-10,16
2020-05-17,26
2020-05-24,17
2020-05-31,20
2020-06-07,27
2020-06-14,33
2020-06-21,18
2020-06-28,26
2020-07-05,21
2020-07-12,11
2020-07-19,11
2020-07-26,0
