Categoría: Todas las categorías

Semana,Puerta de Alcalá: (Francia)
2015-08-02,0
2015-08-09,31
2015-08-16,62
2015-08-23,0
2015-08-30,27
2015-09-06,27
2015-09-13,26
2015-09-20,26
2015-09-27,26
2015-10-04,26
2015-10-11,0
2015-10-18,26
2015-10-25,0
2015-11-01,25
2015-11-08,25
2015-11-15,0
2015-11-22,0
2015-11-29,25
2015-12-06,0
2015-12-13,0
2015-12-20,29
2015-12-27,43
2016-01-03,25
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,63
2016-02-07,25
2016-02-14,0
2016-02-21,0
2016-02-28,25
2016-03-06,26
2016-03-13,26
2016-03-20,0
2016-03-27,0
2016-04-03,26
2016-04-10,27
2016-04-17,27
2016-04-24,0
2016-05-01,28
2016-05-08,0
2016-05-15,27
2016-05-22,80
2016-05-29,26
2016-06-05,27
2016-06-12,0
2016-06-19,27
2016-06-26,27
2016-07-03,29
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,36
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,29
2016-09-11,28
2016-09-18,29
2016-09-25,28
2016-10-02,29
2016-10-09,28
2016-10-16,0
2016-10-23,28
2016-10-30,28
2016-11-06,0
2016-11-13,27
2016-11-20,53
2016-11-27,27
2016-12-04,26
2016-12-11,0
2016-12-18,0
2016-12-25,45
2017-01-01,27
2017-01-08,0
2017-01-15,52
2017-01-22,0
2017-01-29,25
2017-02-05,26
2017-02-12,26
2017-02-19,52
2017-02-26,37
2017-03-05,25
2017-03-12,25
2017-03-19,25
2017-03-26,79
2017-04-02,53
2017-04-09,27
2017-04-16,27
2017-04-23,0
2017-04-30,38
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,54
2017-06-04,27
2017-06-11,27
2017-06-18,26
2017-06-25,27
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,28
2017-08-06,28
2017-08-13,30
2017-08-20,28
2017-08-27,26
2017-09-03,26
2017-09-10,25
2017-09-17,0
2017-09-24,25
2017-10-01,25
2017-10-08,0
2017-10-15,0
2017-10-22,25
2017-10-29,0
2017-11-05,33
2017-11-12,50
2017-11-19,0
2017-11-26,24
2017-12-03,24
2017-12-10,24
2017-12-17,26
2017-12-24,0
2017-12-31,0
2018-01-07,24
2018-01-14,24
2018-01-21,0
2018-01-28,24
2018-02-04,24
2018-02-11,49
2018-02-18,38
2018-02-25,0
2018-03-04,25
2018-03-11,24
2018-03-18,25
2018-03-25,25
2018-04-01,100
2018-04-08,24
2018-04-15,0
2018-04-22,25
2018-04-29,50
2018-05-06,26
2018-05-13,25
2018-05-20,50
2018-05-27,49
2018-06-03,0
2018-06-10,47
2018-06-17,25
2018-06-24,0
2018-07-01,0
2018-07-08,25
2018-07-15,26
2018-07-22,26
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,50
2018-09-02,0
2018-09-09,0
2018-09-16,25
2018-09-23,50
2018-09-30,25
2018-10-07,25
2018-10-14,25
2018-10-21,25
2018-10-28,0
2018-11-04,24
2018-11-11,24
2018-11-18,48
2018-11-25,24
2018-12-02,25
2018-12-09,25
2018-12-16,38
2018-12-23,0
2018-12-30,27
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,23
2019-02-03,0
2019-02-10,0
2019-02-17,25
2019-02-24,25
2019-03-03,24
2019-03-10,48
2019-03-17,0
2019-03-24,25
2019-03-31,24
2019-04-07,37
2019-04-14,0
2019-04-21,0
2019-04-28,24
2019-05-05,0
2019-05-12,48
2019-05-19,24
2019-05-26,24
2019-06-02,23
2019-06-09,23
2019-06-16,36
2019-06-23,24
2019-06-30,24
2019-07-07,0
2019-07-14,25
2019-07-21,25
2019-07-28,26
2019-08-04,0
2019-08-11,26
2019-08-18,51
2019-08-25,0
2019-09-01,23
2019-09-08,0
2019-09-15,23
2019-09-22,0
2019-09-29,0
2019-10-06,23
2019-10-13,34
2019-10-20,22
2019-10-27,22
2019-11-03,22
2019-11-10,22
2019-11-17,22
2019-11-24,0
2019-12-01,43
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,21
2020-02-02,0
2020-02-09,0
2020-02-16,22
2020-02-23,0
2020-03-01,20
2020-03-08,30
2020-03-15,0
2020-03-22,19
2020-03-29,19
2020-04-05,0
2020-04-12,19
2020-04-19,19
2020-04-26,18
2020-05-03,18
2020-05-10,0
2020-05-17,20
2020-05-24,39
2020-05-31,28
2020-06-07,19
2020-06-14,19
2020-06-21,0
2020-06-28,0
2020-07-05,21
2020-07-12,0
2020-07-19,0
2020-07-26,0
