Categoría: Todas las categorías

Semana,cibeles: (Todo el mundo)
2015-08-02,27
2015-08-09,25
2015-08-16,24
2015-08-23,22
2015-08-30,26
2015-09-06,24
2015-09-13,24
2015-09-20,27
2015-09-27,22
2015-10-04,21
2015-10-11,24
2015-10-18,35
2015-10-25,27
2015-11-01,23
2015-11-08,24
2015-11-15,24
2015-11-22,22
2015-11-29,19
2015-12-06,24
2015-12-13,21
2015-12-20,25
2015-12-27,28
2016-01-03,26
2016-01-10,20
2016-01-17,29
2016-01-24,23
2016-01-31,24
2016-02-07,22
2016-02-14,23
2016-02-21,29
2016-02-28,22
2016-03-06,23
2016-03-13,20
2016-03-20,21
2016-03-27,21
2016-04-03,21
2016-04-10,21
2016-04-17,19
2016-04-24,21
2016-05-01,24
2016-05-08,26
2016-05-15,25
2016-05-22,52
2016-05-29,94
2016-06-05,24
2016-06-12,25
2016-06-19,22
2016-06-26,23
2016-07-03,24
2016-07-10,26
2016-07-17,25
2016-07-24,23
2016-07-31,29
2016-08-07,24
2016-08-14,21
2016-08-21,19
2016-08-28,23
2016-09-04,22
2016-09-11,26
2016-09-18,21
2016-09-25,22
2016-10-02,24
2016-10-09,23
2016-10-16,23
2016-10-23,22
2016-10-30,23
2016-11-06,18
2016-11-13,23
2016-11-20,19
2016-11-27,17
2016-12-04,21
2016-12-11,21
2016-12-18,19
2016-12-25,21
2017-01-01,24
2017-01-08,18
2017-01-15,19
2017-01-22,18
2017-01-29,21
2017-02-05,17
2017-02-12,23
2017-02-19,24
2017-02-26,26
2017-03-05,25
2017-03-12,21
2017-03-19,25
2017-03-26,21
2017-04-02,24
2017-04-09,21
2017-04-16,23
2017-04-23,23
2017-04-30,21
2017-05-07,23
2017-05-14,28
2017-05-21,100
2017-05-28,57
2017-06-04,87
2017-06-11,24
2017-06-18,22
2017-06-25,27
2017-07-02,24
2017-07-09,27
2017-07-16,25
2017-07-23,23
2017-07-30,20
2017-08-06,22
2017-08-13,27
2017-08-20,22
2017-08-27,19
2017-09-03,23
2017-09-10,24
2017-09-17,24
2017-09-24,25
2017-10-01,27
2017-10-08,23
2017-10-15,24
2017-10-22,22
2017-10-29,20
2017-11-05,19
2017-11-12,21
2017-11-19,21
2017-11-26,21
2017-12-03,29
2017-12-10,19
2017-12-17,21
2017-12-24,21
2017-12-31,21
2018-01-07,18
2018-01-14,19
2018-01-21,22
2018-01-28,20
2018-02-04,21
2018-02-11,22
2018-02-18,23
2018-02-25,21
2018-03-04,23
2018-03-11,22
2018-03-18,18
2018-03-25,24
2018-04-01,26
2018-04-08,26
2018-04-15,26
2018-04-22,26
2018-04-29,28
2018-05-06,23
2018-05-13,24
2018-05-20,42
2018-05-27,71
2018-06-03,25
2018-06-10,22
2018-06-17,25
2018-06-24,23
2018-07-01,29
2018-07-08,28
2018-07-15,29
2018-07-22,29
2018-07-29,27
2018-08-05,27
2018-08-12,25
2018-08-19,23
2018-08-26,25
2018-09-02,28
2018-09-09,27
2018-09-16,25
2018-09-23,28
2018-09-30,28
2018-10-07,26
2018-10-14,24
2018-10-21,24
2018-10-28,23
2018-11-04,21
2018-11-11,22
2018-11-18,23
2018-11-25,26
2018-12-02,27
2018-12-09,24
2018-12-16,23
2018-12-23,29
2018-12-30,30
2019-01-06,22
2019-01-13,24
2019-01-20,23
2019-01-27,24
2019-02-03,24
2019-02-10,26
2019-02-17,21
2019-02-24,22
2019-03-03,26
2019-03-10,34
2019-03-17,31
2019-03-24,24
2019-03-31,26
2019-04-07,24
2019-04-14,26
2019-04-21,31
2019-04-28,30
2019-05-05,31
2019-05-12,27
2019-05-19,28
2019-05-26,27
2019-06-02,28
2019-06-09,29
2019-06-16,29
2019-06-23,33
2019-06-30,33
2019-07-07,31
2019-07-14,29
2019-07-21,30
2019-07-28,36
2019-08-04,30
2019-08-11,31
2019-08-18,34
2019-08-25,29
2019-09-01,30
2019-09-08,26
2019-09-15,29
2019-09-22,28
2019-09-29,29
2019-10-06,29
2019-10-13,27
2019-10-20,32
2019-10-27,26
2019-11-03,26
2019-11-10,28
2019-11-17,25
2019-11-24,29
2019-12-01,28
2019-12-08,31
2019-12-15,31
2019-12-22,35
2019-12-29,31
2020-01-05,31
2020-01-12,27
2020-01-19,30
2020-01-26,27
2020-02-02,29
2020-02-09,28
2020-02-16,28
2020-02-23,23
2020-03-01,24
2020-03-08,19
2020-03-15,15
2020-03-22,13
2020-03-29,12
2020-04-05,11
2020-04-12,12
2020-04-19,17
2020-04-26,14
2020-05-03,13
2020-05-10,13
2020-05-17,16
2020-05-24,13
2020-05-31,15
2020-06-07,17
2020-06-14,14
2020-06-21,18
2020-06-28,16
2020-07-05,17
2020-07-12,55
2020-07-19,13
2020-07-26,15
