Categoría: Todas las categorías

Semana,gran via: (Todo el mundo)
2015-08-02,46
2015-08-09,46
2015-08-16,38
2015-08-23,44
2015-08-30,48
2015-09-06,49
2015-09-13,51
2015-09-20,51
2015-09-27,54
2015-10-04,56
2015-10-11,100
2015-10-18,75
2015-10-25,66
2015-11-01,66
2015-11-08,52
2015-11-15,50
2015-11-22,57
2015-11-29,61
2015-12-06,60
2015-12-13,59
2015-12-20,64
2015-12-27,66
2016-01-03,60
2016-01-10,51
2016-01-17,52
2016-01-24,49
2016-01-31,48
2016-02-07,57
2016-02-14,50
2016-02-21,50
2016-02-28,45
2016-03-06,45
2016-03-13,46
2016-03-20,51
2016-03-27,46
2016-04-03,47
2016-04-10,47
2016-04-17,48
2016-04-24,45
2016-05-01,53
2016-05-08,53
2016-05-15,49
2016-05-22,50
2016-05-29,48
2016-06-05,47
2016-06-12,49
2016-06-19,47
2016-06-26,48
2016-07-03,52
2016-07-10,45
2016-07-17,49
2016-07-24,48
2016-07-31,51
2016-08-07,44
2016-08-14,43
2016-08-21,43
2016-08-28,44
2016-09-04,49
2016-09-11,53
2016-09-18,55
2016-09-25,52
2016-10-02,53
2016-10-09,57
2016-10-16,49
2016-10-23,59
2016-10-30,52
2016-11-06,46
2016-11-13,50
2016-11-20,57
2016-11-27,57
2016-12-04,78
2016-12-11,54
2016-12-18,56
2016-12-25,60
2017-01-01,66
2017-01-08,55
2017-01-15,52
2017-01-22,53
2017-01-29,57
2017-02-05,53
2017-02-12,55
2017-02-19,48
2017-02-26,56
2017-03-05,48
2017-03-12,52
2017-03-19,54
2017-03-26,51
2017-04-02,50
2017-04-09,55
2017-04-16,51
2017-04-23,61
2017-04-30,54
2017-05-07,53
2017-05-14,46
2017-05-21,51
2017-05-28,52
2017-06-04,51
2017-06-11,51
2017-06-18,52
2017-06-25,57
2017-07-02,56
2017-07-09,55
2017-07-16,48
2017-07-23,51
2017-07-30,53
2017-08-06,46
2017-08-13,46
2017-08-20,48
2017-08-27,52
2017-09-03,56
2017-09-10,53
2017-09-17,55
2017-09-24,57
2017-10-01,58
2017-10-08,58
2017-10-15,56
2017-10-22,53
2017-10-29,55
2017-11-05,53
2017-11-12,54
2017-11-19,57
2017-11-26,62
2017-12-03,65
2017-12-10,54
2017-12-17,60
2017-12-24,68
2017-12-31,68
2018-01-07,60
2018-01-14,56
2018-01-21,54
2018-01-28,51
2018-02-04,55
2018-02-11,56
2018-02-18,55
2018-02-25,55
2018-03-04,50
2018-03-11,50
2018-03-18,52
2018-03-25,60
2018-04-01,53
2018-04-08,51
2018-04-15,52
2018-04-22,49
2018-04-29,59
2018-05-06,58
2018-05-13,48
2018-05-20,50
2018-05-27,53
2018-06-03,54
2018-06-10,50
2018-06-17,53
2018-06-24,49
2018-07-01,54
2018-07-08,54
2018-07-15,51
2018-07-22,50
2018-07-29,53
2018-08-05,52
2018-08-12,45
2018-08-19,45
2018-08-26,51
2018-09-02,56
2018-09-09,53
2018-09-16,52
2018-09-23,54
2018-09-30,53
2018-10-07,57
2018-10-14,54
2018-10-21,57
2018-10-28,59
2018-11-04,58
2018-11-11,55
2018-11-18,66
2018-11-25,62
2018-12-02,64
2018-12-09,58
2018-12-16,64
2018-12-23,65
2018-12-30,64
2019-01-06,60
2019-01-13,54
2019-01-20,53
2019-01-27,54
2019-02-03,48
2019-02-10,53
2019-02-17,51
2019-02-24,49
2019-03-03,53
2019-03-10,49
2019-03-17,52
2019-03-24,47
2019-03-31,52
2019-04-07,50
2019-04-14,57
2019-04-21,53
2019-04-28,60
2019-05-05,51
2019-05-12,60
2019-05-19,55
2019-05-26,51
2019-06-02,61
2019-06-09,53
2019-06-16,56
2019-06-23,56
2019-06-30,57
2019-07-07,54
2019-07-14,53
2019-07-21,73
2019-07-28,55
2019-08-04,55
2019-08-11,54
2019-08-18,50
2019-08-25,51
2019-09-01,55
2019-09-08,57
2019-09-15,59
2019-09-22,63
2019-09-29,58
2019-10-06,66
2019-10-13,64
2019-10-20,57
2019-10-27,71
2019-11-03,58
2019-11-10,58
2019-11-17,60
2019-11-24,60
2019-12-01,65
2019-12-08,55
2019-12-15,62
2019-12-22,76
2019-12-29,70
2020-01-05,58
2020-01-12,57
2020-01-19,54
2020-01-26,56
2020-02-02,51
2020-02-09,54
2020-02-16,50
2020-02-23,53
2020-03-01,44
2020-03-08,37
2020-03-15,19
2020-03-22,16
2020-03-29,16
2020-04-05,19
2020-04-12,17
2020-04-19,14
2020-04-26,17
2020-05-03,20
2020-05-10,21
2020-05-17,24
2020-05-24,29
2020-05-31,31
2020-06-07,31
2020-06-14,34
2020-06-21,32
2020-06-28,33
2020-07-05,33
2020-07-12,33
2020-07-19,32
2020-07-26,27
