Categoría: Todas las categorías

Semana,ses salines: (Alemania)
2015-08-02,28
2015-08-09,31
2015-08-16,62
2015-08-23,49
2015-08-30,44
2015-09-06,26
2015-09-13,30
2015-09-20,45
2015-09-27,32
2015-10-04,25
2015-10-11,17
2015-10-18,13
2015-10-25,21
2015-11-01,13
2015-11-08,12
2015-11-15,24
2015-11-22,12
2015-11-29,12
2015-12-06,12
2015-12-13,13
2015-12-20,15
2015-12-27,24
2016-01-03,23
2016-01-10,11
2016-01-17,12
2016-01-24,34
2016-01-31,27
2016-02-07,27
2016-02-14,23
2016-02-21,12
2016-02-28,23
2016-03-06,27
2016-03-13,24
2016-03-20,28
2016-03-27,21
2016-04-03,24
2016-04-10,28
2016-04-17,12
2016-04-24,23
2016-05-01,26
2016-05-08,24
2016-05-15,12
2016-05-22,29
2016-05-29,35
2016-06-05,24
2016-06-12,11
2016-06-19,32
2016-06-26,35
2016-07-03,17
2016-07-10,25
2016-07-17,39
2016-07-24,43
2016-07-31,48
2016-08-07,65
2016-08-14,52
2016-08-21,56
2016-08-28,13
2016-09-04,26
2016-09-11,47
2016-09-18,60
2016-09-25,32
2016-10-02,26
2016-10-09,25
2016-10-16,21
2016-10-23,25
2016-10-30,18
2016-11-06,24
2016-11-13,12
2016-11-20,24
2016-11-27,20
2016-12-04,12
2016-12-11,16
2016-12-18,38
2016-12-25,14
2017-01-01,18
2017-01-08,17
2017-01-15,34
2017-01-22,22
2017-01-29,28
2017-02-05,19
2017-02-12,28
2017-02-19,23
2017-02-26,19
2017-03-05,28
2017-03-12,34
2017-03-19,17
2017-03-26,24
2017-04-02,17
2017-04-09,20
2017-04-16,17
2017-04-23,41
2017-04-30,34
2017-05-07,19
2017-05-14,16
2017-05-21,38
2017-05-28,24
2017-06-04,32
2017-06-11,32
2017-06-18,100
2017-06-25,35
2017-07-02,36
2017-07-09,43
2017-07-16,56
2017-07-23,46
2017-07-30,57
2017-08-06,23
2017-08-13,59
2017-08-20,35
2017-08-27,30
2017-09-03,26
2017-09-10,37
2017-09-17,37
2017-09-24,22
2017-10-01,47
2017-10-08,22
2017-10-15,37
2017-10-22,21
2017-10-29,28
2017-11-05,18
2017-11-12,16
2017-11-19,14
2017-11-26,18
2017-12-03,22
2017-12-10,0
2017-12-17,0
2017-12-24,33
2017-12-31,18
2018-01-07,21
2018-01-14,17
2018-01-21,31
2018-01-28,24
2018-02-04,16
2018-02-11,17
2018-02-18,24
2018-02-25,31
2018-03-04,31
2018-03-11,38
2018-03-18,17
2018-03-25,22
2018-04-01,60
2018-04-08,25
2018-04-15,22
2018-04-22,31
2018-04-29,44
2018-05-06,22
2018-05-13,35
2018-05-20,48
2018-05-27,25
2018-06-03,56
2018-06-10,37
2018-06-17,34
2018-06-24,21
2018-07-01,28
2018-07-08,24
2018-07-15,25
2018-07-22,43
2018-07-29,32
2018-08-05,32
2018-08-12,40
2018-08-19,48
2018-08-26,39
2018-09-02,21
2018-09-09,25
2018-09-16,18
2018-09-23,16
2018-09-30,42
2018-10-07,21
2018-10-14,18
2018-10-21,26
2018-10-28,27
2018-11-04,20
2018-11-11,10
2018-11-18,15
2018-11-25,15
2018-12-02,15
2018-12-09,20
2018-12-16,11
2018-12-23,18
2018-12-30,14
2019-01-06,13
2019-01-13,16
2019-01-20,19
2019-01-27,13
2019-02-03,19
2019-02-10,10
2019-02-17,20
2019-02-24,17
2019-03-03,16
2019-03-10,16
2019-03-17,30
2019-03-24,24
2019-03-31,10
2019-04-07,20
2019-04-14,36
2019-04-21,37
2019-04-28,16
2019-05-05,35
2019-05-12,30
2019-05-19,29
2019-05-26,36
2019-06-02,20
2019-06-09,30
2019-06-16,20
2019-06-23,27
2019-06-30,30
2019-07-07,26
2019-07-14,35
2019-07-21,29
2019-07-28,32
2019-08-04,46
2019-08-11,34
2019-08-18,38
2019-08-25,45
2019-09-01,25
2019-09-08,30
2019-09-15,20
2019-09-22,22
2019-09-29,29
2019-10-06,39
2019-10-13,29
2019-10-20,16
2019-10-27,23
2019-11-03,9
2019-11-10,12
2019-11-17,14
2019-11-24,12
2019-12-01,12
2019-12-08,9
2019-12-15,14
2019-12-22,22
2019-12-29,10
2020-01-05,18
2020-01-12,9
2020-01-19,9
2020-01-26,15
2020-02-02,18
2020-02-09,17
2020-02-16,30
2020-02-23,43
2020-03-01,20
2020-03-08,24
2020-03-15,8
2020-03-22,8
2020-03-29,8
2020-04-05,17
2020-04-12,12
2020-04-19,16
2020-04-26,8
2020-05-03,8
2020-05-10,11
2020-05-17,17
2020-05-24,16
2020-05-31,13
2020-06-07,12
2020-06-14,8
2020-06-21,13
2020-06-28,19
2020-07-05,31
2020-07-12,39
2020-07-19,21
