Categoría: Todas las categorías

Semana,callao: (Todo el mundo)
2015-08-02,70
2015-08-09,76
2015-08-16,83
2015-08-23,66
2015-08-30,59
2015-09-06,65
2015-09-13,62
2015-09-20,63
2015-09-27,63
2015-10-04,59
2015-10-11,62
2015-10-18,65
2015-10-25,64
2015-11-01,64
2015-11-08,63
2015-11-15,62
2015-11-22,63
2015-11-29,67
2015-12-06,69
2015-12-13,62
2015-12-20,58
2015-12-27,63
2016-01-03,62
2016-01-10,59
2016-01-17,67
2016-01-24,68
2016-01-31,65
2016-02-07,66
2016-02-14,56
2016-02-21,61
2016-02-28,61
2016-03-06,58
2016-03-13,60
2016-03-20,53
2016-03-27,59
2016-04-03,60
2016-04-10,65
2016-04-17,61
2016-04-24,54
2016-05-01,54
2016-05-08,53
2016-05-15,60
2016-05-22,58
2016-05-29,55
2016-06-05,55
2016-06-12,56
2016-06-19,60
2016-06-26,63
2016-07-03,68
2016-07-10,64
2016-07-17,65
2016-07-24,60
2016-07-31,64
2016-08-07,62
2016-08-14,71
2016-08-21,66
2016-08-28,63
2016-09-04,60
2016-09-11,65
2016-09-18,63
2016-09-25,59
2016-10-02,61
2016-10-09,63
2016-10-16,59
2016-10-23,70
2016-10-30,62
2016-11-06,61
2016-11-13,61
2016-11-20,63
2016-11-27,59
2016-12-04,57
2016-12-11,62
2016-12-18,61
2016-12-25,63
2017-01-01,66
2017-01-08,61
2017-01-15,63
2017-01-22,67
2017-01-29,68
2017-02-05,68
2017-02-12,79
2017-02-19,84
2017-02-26,64
2017-03-05,60
2017-03-12,65
2017-03-19,63
2017-03-26,59
2017-04-02,61
2017-04-09,59
2017-04-16,62
2017-04-23,61
2017-04-30,60
2017-05-07,58
2017-05-14,58
2017-05-21,57
2017-05-28,60
2017-06-04,59
2017-06-11,66
2017-06-18,65
2017-06-25,64
2017-07-02,64
2017-07-09,67
2017-07-16,65
2017-07-23,59
2017-07-30,66
2017-08-06,61
2017-08-13,70
2017-08-20,71
2017-08-27,71
2017-09-03,60
2017-09-10,60
2017-09-17,63
2017-09-24,66
2017-10-01,57
2017-10-08,55
2017-10-15,63
2017-10-22,58
2017-10-29,57
2017-11-05,56
2017-11-12,61
2017-11-19,59
2017-11-26,58
2017-12-03,56
2017-12-10,64
2017-12-17,61
2017-12-24,63
2017-12-31,67
2018-01-07,64
2018-01-14,59
2018-01-21,65
2018-01-28,66
2018-02-04,68
2018-02-11,65
2018-02-18,64
2018-02-25,66
2018-03-04,66
2018-03-11,63
2018-03-18,67
2018-03-25,60
2018-04-01,66
2018-04-08,63
2018-04-15,59
2018-04-22,62
2018-04-29,57
2018-05-06,60
2018-05-13,59
2018-05-20,61
2018-05-27,59
2018-06-03,57
2018-06-10,61
2018-06-17,61
2018-06-24,57
2018-07-01,65
2018-07-08,66
2018-07-15,67
2018-07-22,66
2018-07-29,68
2018-08-05,71
2018-08-12,74
2018-08-19,83
2018-08-26,69
2018-09-02,71
2018-09-09,65
2018-09-16,64
2018-09-23,65
2018-09-30,70
2018-10-07,100
2018-10-14,65
2018-10-21,63
2018-10-28,62
2018-11-04,67
2018-11-11,65
2018-11-18,63
2018-11-25,61
2018-12-02,63
2018-12-09,65
2018-12-16,64
2018-12-23,63
2018-12-30,66
2019-01-06,67
2019-01-13,69
2019-01-20,66
2019-01-27,62
2019-02-03,66
2019-02-10,64
2019-02-17,67
2019-02-24,66
2019-03-03,63
2019-03-10,65
2019-03-17,66
2019-03-24,69
2019-03-31,62
2019-04-07,67
2019-04-14,56
2019-04-21,63
2019-04-28,62
2019-05-05,60
2019-05-12,64
2019-05-19,66
2019-05-26,72
2019-06-02,68
2019-06-09,62
2019-06-16,64
2019-06-23,69
2019-06-30,66
2019-07-07,67
2019-07-14,66
2019-07-21,77
2019-07-28,67
2019-08-04,72
2019-08-11,79
2019-08-18,82
2019-08-25,65
2019-09-01,69
2019-09-08,66
2019-09-15,65
2019-09-22,63
2019-09-29,62
2019-10-06,62
2019-10-13,72
2019-10-20,71
2019-10-27,68
2019-11-03,67
2019-11-10,67
2019-11-17,61
2019-11-24,65
2019-12-01,67
2019-12-08,65
2019-12-15,65
2019-12-22,68
2019-12-29,66
2020-01-05,67
2020-01-12,68
2020-01-19,74
2020-01-26,79
2020-02-02,70
2020-02-09,65
2020-02-16,69
2020-02-23,68
2020-03-01,67
2020-03-08,57
2020-03-15,37
2020-03-22,30
2020-03-29,33
2020-04-05,33
2020-04-12,37
2020-04-19,37
2020-04-26,37
2020-05-03,37
2020-05-10,41
2020-05-17,43
2020-05-24,49
2020-05-31,52
2020-06-07,52
2020-06-14,57
2020-06-21,49
2020-06-28,51
2020-07-05,57
2020-07-12,57
2020-07-19,60
2020-07-26,45
