Categoría: Todas las categorías

Semana,cala salada: (Reino Unido)
2015-08-02,44
2015-08-09,29
2015-08-16,29
2015-08-23,57
2015-08-30,58
2015-09-06,29
2015-09-13,28
2015-09-20,28
2015-09-27,0
2015-10-04,28
2015-10-11,28
2015-10-18,27
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,27
2016-01-10,54
2016-01-17,0
2016-01-24,27
2016-01-31,0
2016-02-07,0
2016-02-14,28
2016-02-21,28
2016-02-28,0
2016-03-06,28
2016-03-13,0
2016-03-20,29
2016-03-27,29
2016-04-03,0
2016-04-10,0
2016-04-17,56
2016-04-24,27
2016-05-01,0
2016-05-08,28
2016-05-15,0
2016-05-22,57
2016-05-29,29
2016-06-05,100
2016-06-12,41
2016-06-19,42
2016-06-26,28
2016-07-03,44
2016-07-10,30
2016-07-17,0
2016-07-24,30
2016-07-31,31
2016-08-07,32
2016-08-14,65
2016-08-21,47
2016-08-28,51
2016-09-04,45
2016-09-11,76
2016-09-18,59
2016-09-25,29
2016-10-02,0
2016-10-09,0
2016-10-16,58
2016-10-23,29
2016-10-30,0
2016-11-06,0
2016-11-13,28
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,31
2017-01-01,27
2017-01-08,26
2017-01-15,0
2017-01-22,39
2017-01-29,51
2017-02-05,0
2017-02-12,52
2017-02-19,0
2017-02-26,0
2017-03-05,25
2017-03-12,0
2017-03-19,78
2017-03-26,54
2017-04-02,0
2017-04-09,28
2017-04-16,27
2017-04-23,39
2017-04-30,40
2017-05-07,26
2017-05-14,27
2017-05-21,42
2017-05-28,69
2017-06-04,27
2017-06-11,28
2017-06-18,36
2017-06-25,37
2017-07-02,57
2017-07-09,69
2017-07-16,46
2017-07-23,27
2017-07-30,27
2017-08-06,55
2017-08-13,28
2017-08-20,0
2017-08-27,28
2017-09-03,0
2017-09-10,26
2017-09-17,26
2017-09-24,26
2017-10-01,0
2017-10-08,26
2017-10-15,26
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,26
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,25
2018-01-14,48
2018-01-21,49
2018-01-28,0
2018-02-04,25
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,25
2018-03-11,25
2018-03-18,25
2018-03-25,0
2018-04-01,39
2018-04-08,25
2018-04-15,39
2018-04-22,25
2018-04-29,34
2018-05-06,26
2018-05-13,26
2018-05-20,26
2018-05-27,39
2018-06-03,25
2018-06-10,0
2018-06-17,0
2018-06-24,26
2018-07-01,39
2018-07-08,76
2018-07-15,44
2018-07-22,77
2018-07-29,25
2018-08-05,51
2018-08-12,0
2018-08-19,26
2018-08-26,40
2018-09-02,26
2018-09-09,26
2018-09-16,0
2018-09-23,26
2018-09-30,0
2018-10-07,0
2018-10-14,26
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,24
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,24
2019-03-10,0
2019-03-17,25
2019-03-24,26
2019-03-31,26
2019-04-07,25
2019-04-14,0
2019-04-21,26
2019-04-28,37
2019-05-05,25
2019-05-12,26
2019-05-19,25
2019-05-26,25
2019-06-02,83
2019-06-09,48
2019-06-16,0
2019-06-23,50
2019-06-30,0
2019-07-07,0
2019-07-14,25
2019-07-21,26
2019-07-28,0
2019-08-04,25
2019-08-11,49
2019-08-18,25
2019-08-25,37
2019-09-01,24
2019-09-08,24
2019-09-15,36
2019-09-22,0
2019-09-29,23
2019-10-06,0
2019-10-13,0
2019-10-20,23
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,22
2019-11-24,32
2019-12-01,22
2019-12-08,23
2019-12-15,24
2019-12-22,0
2019-12-29,23
2020-01-05,0
2020-01-12,21
2020-01-19,22
2020-01-26,32
2020-02-02,0
2020-02-09,21
2020-02-16,21
2020-02-23,0
2020-03-01,31
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,20
2020-04-19,39
2020-04-26,0
2020-05-03,29
2020-05-10,19
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,37
2020-06-14,0
2020-06-21,29
2020-06-28,0
2020-07-05,20
2020-07-12,21
2020-07-19,44
