Categoría: Todas las categorías

Semana,magaluf: (Francia)
2015-08-02,75
2015-08-09,91
2015-08-16,61
2015-08-23,44
2015-08-30,37
2015-09-06,19
2015-09-13,20
2015-09-20,11
2015-09-27,14
2015-10-04,6
2015-10-11,14
2015-10-18,6
2015-10-25,6
2015-11-01,6
2015-11-08,5
2015-11-15,8
2015-11-22,8
2015-11-29,6
2015-12-06,6
2015-12-13,13
2015-12-20,8
2015-12-27,12
2016-01-03,16
2016-01-10,12
2016-01-17,14
2016-01-24,14
2016-01-31,17
2016-02-07,8
2016-02-14,22
2016-02-21,14
2016-02-28,16
2016-03-06,22
2016-03-13,23
2016-03-20,17
2016-03-27,18
2016-04-03,22
2016-04-10,24
2016-04-17,28
2016-04-24,23
2016-05-01,33
2016-05-08,24
2016-05-15,29
2016-05-22,28
2016-05-29,23
2016-06-05,21
2016-06-12,34
2016-06-19,40
2016-06-26,27
2016-07-03,41
2016-07-10,32
2016-07-17,58
2016-07-24,50
2016-07-31,45
2016-08-07,82
2016-08-14,53
2016-08-21,62
2016-08-28,46
2016-09-04,27
2016-09-11,28
2016-09-18,21
2016-09-25,10
2016-10-02,13
2016-10-09,6
2016-10-16,14
2016-10-23,5
2016-10-30,7
2016-11-06,5
2016-11-13,9
2016-11-20,5
2016-11-27,7
2016-12-04,6
2016-12-11,3
2016-12-18,7
2016-12-25,11
2017-01-01,9
2017-01-08,11
2017-01-15,11
2017-01-22,7
2017-01-29,12
2017-02-05,19
2017-02-12,9
2017-02-19,15
2017-02-26,16
2017-03-05,22
2017-03-12,12
2017-03-19,16
2017-03-26,16
2017-04-02,25
2017-04-09,20
2017-04-16,26
2017-04-23,30
2017-04-30,34
2017-05-07,39
2017-05-14,57
2017-05-21,36
2017-05-28,40
2017-06-04,31
2017-06-11,32
2017-06-18,54
2017-06-25,63
2017-07-02,45
2017-07-09,62
2017-07-16,48
2017-07-23,56
2017-07-30,57
2017-08-06,65
2017-08-13,67
2017-08-20,64
2017-08-27,62
2017-09-03,40
2017-09-10,39
2017-09-17,20
2017-09-24,16
2017-10-01,9
2017-10-08,13
2017-10-15,9
2017-10-22,9
2017-10-29,6
2017-11-05,10
2017-11-12,7
2017-11-19,5
2017-11-26,6
2017-12-03,10
2017-12-10,7
2017-12-17,0
2017-12-24,9
2017-12-31,8
2018-01-07,10
2018-01-14,16
2018-01-21,21
2018-01-28,13
2018-02-04,17
2018-02-11,12
2018-02-18,15
2018-02-25,17
2018-03-04,16
2018-03-11,26
2018-03-18,26
2018-03-25,15
2018-04-01,28
2018-04-08,25
2018-04-15,25
2018-04-22,29
2018-04-29,26
2018-05-06,31
2018-05-13,35
2018-05-20,44
2018-05-27,35
2018-06-03,40
2018-06-10,42
2018-06-17,41
2018-06-24,57
2018-07-01,42
2018-07-08,43
2018-07-15,33
2018-07-22,74
2018-07-29,66
2018-08-05,84
2018-08-12,72
2018-08-19,49
2018-08-26,51
2018-09-02,36
2018-09-09,30
2018-09-16,16
2018-09-23,17
2018-09-30,21
2018-10-07,19
2018-10-14,13
2018-10-21,7
2018-10-28,6
2018-11-04,8
2018-11-11,8
2018-11-18,6
2018-11-25,3
2018-12-02,3
2018-12-09,6
2018-12-16,10
2018-12-23,9
2018-12-30,5
2019-01-06,12
2019-01-13,13
2019-01-20,10
2019-01-27,14
2019-02-03,8
2019-02-10,18
2019-02-17,13
2019-02-24,19
2019-03-03,12
2019-03-10,13
2019-03-17,18
2019-03-24,22
2019-03-31,18
2019-04-07,32
2019-04-14,33
2019-04-21,26
2019-04-28,49
2019-05-05,30
2019-05-12,39
2019-05-19,31
2019-05-26,42
2019-06-02,44
2019-06-09,38
2019-06-16,40
2019-06-23,44
2019-06-30,37
2019-07-07,45
2019-07-14,45
2019-07-21,78
2019-07-28,89
2019-08-04,100
2019-08-11,77
2019-08-18,58
2019-08-25,45
2019-09-01,43
2019-09-08,33
2019-09-15,31
2019-09-22,22
2019-09-29,19
2019-10-06,6
2019-10-13,21
2019-10-20,7
2019-10-27,8
2019-11-03,3
2019-11-10,5
2019-11-17,5
2019-11-24,12
2019-12-01,8
2019-12-08,8
2019-12-15,9
2019-12-22,5
2019-12-29,11
2020-01-05,10
2020-01-12,14
2020-01-19,19
2020-01-26,18
2020-02-02,16
2020-02-09,17
2020-02-16,10
2020-02-23,16
2020-03-01,18
2020-03-08,13
2020-03-15,3
2020-03-22,7
2020-03-29,8
2020-04-05,6
2020-04-12,2
2020-04-19,2
2020-04-26,4
2020-05-03,8
2020-05-10,8
2020-05-17,2
2020-05-24,7
2020-05-31,12
2020-06-07,14
2020-06-14,14
2020-06-21,13
2020-06-28,17
2020-07-05,17
2020-07-12,29
2020-07-19,23
