Categoría: Todas las categorías

Semana,callao: (Bélgica)
2015-08-02,28
2015-08-09,39
2015-08-16,26
2015-08-23,25
2015-08-30,25
2015-09-06,51
2015-09-13,24
2015-09-20,24
2015-09-27,48
2015-10-04,63
2015-10-11,71
2015-10-18,69
2015-10-25,24
2015-11-01,25
2015-11-08,74
2015-11-15,23
2015-11-22,23
2015-11-29,46
2015-12-06,84
2015-12-13,25
2015-12-20,29
2015-12-27,45
2016-01-03,63
2016-01-10,28
2016-01-17,69
2016-01-24,17
2016-01-31,0
2016-02-07,35
2016-02-14,41
2016-02-21,34
2016-02-28,34
2016-03-06,0
2016-03-13,18
2016-03-20,18
2016-03-27,19
2016-04-03,37
2016-04-10,18
2016-04-17,18
2016-04-24,34
2016-05-01,100
2016-05-08,18
2016-05-15,36
2016-05-22,0
2016-05-29,17
2016-06-05,27
2016-06-12,34
2016-06-19,30
2016-06-26,18
2016-07-03,21
2016-07-10,64
2016-07-17,36
2016-07-24,30
2016-07-31,21
2016-08-07,44
2016-08-14,53
2016-08-21,21
2016-08-28,0
2016-09-04,21
2016-09-11,20
2016-09-18,20
2016-09-25,0
2016-10-02,39
2016-10-09,19
2016-10-16,51
2016-10-23,32
2016-10-30,40
2016-11-06,0
2016-11-13,18
2016-11-20,19
2016-11-27,37
2016-12-04,18
2016-12-11,27
2016-12-18,19
2016-12-25,20
2017-01-01,19
2017-01-08,17
2017-01-15,43
2017-01-22,17
2017-01-29,35
2017-02-05,17
2017-02-12,17
2017-02-19,35
2017-02-26,34
2017-03-05,0
2017-03-12,17
2017-03-19,17
2017-03-26,18
2017-04-02,19
2017-04-09,18
2017-04-16,18
2017-04-23,34
2017-04-30,26
2017-05-07,0
2017-05-14,18
2017-05-21,20
2017-05-28,18
2017-06-04,17
2017-06-11,0
2017-06-18,26
2017-06-25,25
2017-07-02,30
2017-07-09,20
2017-07-16,21
2017-07-23,20
2017-07-30,18
2017-08-06,28
2017-08-13,19
2017-08-20,0
2017-08-27,35
2017-09-03,26
2017-09-10,17
2017-09-17,27
2017-09-24,0
2017-10-01,33
2017-10-08,17
2017-10-15,0
2017-10-22,17
2017-10-29,0
2017-11-05,0
2017-11-12,33
2017-11-19,16
2017-11-26,16
2017-12-03,0
2017-12-10,16
2017-12-17,0
2017-12-24,18
2017-12-31,17
2018-01-07,16
2018-01-14,24
2018-01-21,47
2018-01-28,16
2018-02-04,16
2018-02-11,33
2018-02-18,16
2018-02-25,24
2018-03-04,32
2018-03-11,32
2018-03-18,24
2018-03-25,33
2018-04-01,44
2018-04-08,26
2018-04-15,17
2018-04-22,16
2018-04-29,16
2018-05-06,17
2018-05-13,16
2018-05-20,33
2018-05-27,15
2018-06-03,47
2018-06-10,45
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,37
2018-07-22,0
2018-07-29,26
2018-08-05,28
2018-08-12,17
2018-08-19,34
2018-08-26,17
2018-09-02,25
2018-09-09,33
2018-09-16,16
2018-09-23,0
2018-09-30,16
2018-10-07,17
2018-10-14,48
2018-10-21,33
2018-10-28,34
2018-11-04,16
2018-11-11,21
2018-11-18,16
2018-11-25,16
2018-12-02,0
2018-12-09,33
2018-12-16,0
2018-12-23,18
2018-12-30,17
2019-01-06,16
2019-01-13,16
2019-01-20,0
2019-01-27,30
2019-02-03,16
2019-02-10,16
2019-02-17,24
2019-02-24,23
2019-03-03,16
2019-03-10,31
2019-03-17,0
2019-03-24,0
2019-03-31,16
2019-04-07,17
2019-04-14,17
2019-04-21,16
2019-04-28,0
2019-05-05,15
2019-05-12,15
2019-05-19,15
2019-05-26,15
2019-06-02,14
2019-06-09,20
2019-06-16,15
2019-06-23,16
2019-06-30,16
2019-07-07,16
2019-07-14,25
2019-07-21,0
2019-07-28,17
2019-08-04,25
2019-08-11,0
2019-08-18,17
2019-08-25,16
2019-09-01,16
2019-09-08,16
2019-09-15,15
2019-09-22,0
2019-09-29,22
2019-10-06,15
2019-10-13,29
2019-10-20,15
2019-10-27,20
2019-11-03,29
2019-11-10,15
2019-11-17,29
2019-11-24,14
2019-12-01,22
2019-12-08,14
2019-12-15,21
2019-12-22,16
2019-12-29,15
2020-01-05,21
2020-01-12,27
2020-01-19,14
2020-01-26,0
2020-02-02,14
2020-02-09,0
2020-02-16,20
2020-02-23,0
2020-03-01,14
2020-03-08,13
2020-03-15,13
2020-03-22,19
2020-03-29,0
2020-04-05,0
2020-04-12,13
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,12
2020-05-17,26
2020-05-24,0
2020-05-31,12
2020-06-07,12
2020-06-14,0
2020-06-21,0
2020-06-28,13
2020-07-05,14
2020-07-12,14
2020-07-19,0
2020-07-26,0
